@relation full_data

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
8,7,1,3.41,64,19,13,16,7,9,0,0,0,0,1,3,0,36,50,942,3.475584,0,2,8.8,20,Stable
8,9,0,4.22,117,77,14,11,5,10,0,0,0,0,50,3,0,41,50,23832,4.020435,0,3,8.8,52,Stable
8,7,1,3.6,983,394,182,172,92,143,0,0,0,0,4,3,0,139,50,4921,4.131071,0,1,8.8,53,Stable
12,11,1,1,1,0,0,0,0,1,0,0,0,0,4,3,0,25,50,3,3,0,1,13.2,69,Slow
8,7,0,3.92,3080,1542,573,448,212,305,0,0,0,0,50,3,0,20,50,11854,4.094905,0,2,8.8,39,Hot
6,22,1,4.45,47,32,8,4,2,1,0,0,0,0,1,2,0,41,50,15812,3.855173,0,2,6.6,53,Stable
2.69,3,0,5,1,1,0,0,0,0,0,0,0,0,50,1,0,43,50,7218,4.247714,0,1,2.959,52,Slow
1.67,2,1,3.59,32,13,6,4,5,4,1,0,0,1,2,1,0,43,50,185,3.967568,0,8,1.837,43,Slow
6,11,0,3,4,0,2,1,0,1,0,0,0,0,50,2,0,17,50,5264,4.032865,0,2,6.6,60,Slow
8,7,1,3.66,581,230,120,107,52,72,0,0,0,0,50,2,0,32,50,12574,4.002227,0,2,8.8,60,Stable
3,17,0,4.17,788,466,149,77,35,61,0,0,0,0,50,1,0,21,50,4191,4.303985,0,8,3.3,11,Stable
3,3,1,3.63,8,4,1,1,0,2,0,0,0,0,3,1,0,26,50,1086,4.056169,0,8,3.3,4,Slow
1,8,0,3.75,4,2,1,0,0,1,0,0,0,0,1,1,0,39,50,47,4.170213,0,8,1.1,60,Slow
5,5,0,3.76,669,289,136,115,52,77,0,0,0,0,18,2,0,48,50,32168,3.884544,0,2,5.5,60,Stable
11,10,1,2.77,26,5,4,4,6,7,0,0,0,0,3,2,0,49,50,99,3.545455,0,1,12.1,46,Slow
2.72,17,1,3.63,116,50,18,17,17,14,0,0,0,0,3,1,0,43,50,37375,4.179425,0,1,2.992,39,Stable
3.81,4,0,3.48,101,41,13,18,11,18,0,0,0,0,1,1,0,37,50,1012,3.983202,0,1,4.191,4,Stable
11,10,1,4.14,37,20,7,6,3,1,0,0,0,0,50,3,0,41,50,9703,3.970731,0,3,12.1,53,Slow
6,6,1,3.99,160,79,39,17,12,13,0,0,0,0,5,2,0,38,50,8776,4.153031,0,8,6.6,13,Slow
8,8,0,4.3,1858,1124,389,200,69,76,1,0,1,0,50,3,0,41,50,19879,3.994718,0,2,8.8,57,Hot
8,59,0,3.78,45,17,10,11,5,2,0,0,0,0,5,3,0,41,50,58154,3.871359,1,1,8.8,24,Slow
15,13,1,3.73,1072,467,220,163,73,149,0,0,0,0,50,4,0,28,50,24095,3.818635,0,2,16.5,24,Stable
11,10,1,4,29,17,2,6,1,3,0,0,0,0,50,2,0,39,50,24564,3.92888,0,2,12.1,4,Slow
2.81,3,1,3.5,8,2,4,0,0,2,0,0,0,0,1,1,0,35,50,126370,4.146957,1,8,3.091,4,Slow
6,17,0,4.24,1650,969,344,182,72,83,1,0,1,0,50,2,0,44,50,13308,4.155996,0,2,6.6,60,Stable
5.66,5,0,4.21,217,134,37,17,16,13,1,0,1,0,50,2,0,35,50,9857,4.053972,0,6,6.226,4,Stable
6,7,0,3.75,1238,537,264,187,91,159,0,0,0,0,50,2,0,31,50,5993,4.055231,1,1,6.6,4,Hot
8,84,0,3.6,18463,7530,3351,3057,1736,2789,1,0,0,1,50,3,0,36,50,51369,3.968269,1,2,8.8,58,Hot
7,9,1,4.19,1378,801,270,158,66,83,0,0,0,0,10,2,0,43,50,42919,4.105967,0,2,7.7,24,Hot
