@relation categorized_units_sold_final

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute rating_five_proportion numeric
@attribute rating_four_proportion numeric
@attribute rating_three_proportion numeric
@attribute rating_two_proportion numeric
@attribute rating_one_proportion numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
5,38,1,5,0,0,0,0,17,1,0,33,50,9,3.666667,0,1,5.5,3,1,0,0,0,0,Slow
5.87,11,1,3.91,0,0,0,0,6,1,0,29,50,6187,4.391304,0,2,6.457,60,0.478469,0.196172,0.162679,0.08134,0.08134,Stable
11,10,0,3.72,0,0,0,0,50,2,0,25,50,61895,4.268002,1,3,12.1,60,0.443452,0.199405,0.133929,0.080357,0.142857,Stable
8,10,0,2.71,0,0,0,0,4,3,0,20,50,224,3.892857,0,1,8.8,53,0.142857,0.142857,0.285714,0.142857,0.285714,Slow
14,67,0,3.81,0,0,0,0,50,4,0,40,50,11900,4.150756,1,3,15.4,11,0.449198,0.213904,0.149733,0.074866,0.112299,Stable
2,9,0,3.47,0,0,0,0,1,1,0,40,50,4856,4.167628,0,8,2.2,60,0.34375,0.1875,0.15625,0.21875,0.09375,Slow
8,7,1,3.93,0,0,0,0,50,3,0,30,50,66644,4.137582,1,3,8.8,69,0.492814,0.203593,0.149701,0.053293,0.100599,Hot
5.79,30,1,3.41,0,0,0,0,50,2,0,118,50,21012,4.189844,1,1,6.369,60,0.34434,0.231132,0.108491,0.117925,0.198113,Stable
8,22,1,3.74,0,0,0,0,50,3,0,41,50,50593,3.876762,0,2,8.8,67,0.510638,0.106383,0.12766,0.12766,0.12766,Slow
4.94,5,1,3.93,0,0,0,0,6,1,0,49,50,55670,4.121484,1,3,5.434,6,0.495116,0.191585,0.149512,0.075883,0.087904,Hot
8,7,0,3.82,0,0,0,0,50,3,0,14,50,8821,3.87201,0,3,8.8,43,0.484127,0.171825,0.144841,0.080556,0.118651,Hot
11,10,1,3.46,0,0,0,0,50,3,0,41,50,225438,4.30112,0,2,12.1,4,0.4,0.14,0.16,0.12,0.18,Slow
8,33,0,5,0,0,0,0,50,2,0,25,50,1496,4.169786,0,2,8.8,4,?,?,?,?,?,Slow
9,33,1,4.5,0,0,0,0,50,3,0,41,50,8397,4.120281,0,2,9.9,60,0.5,0.5,0,0,0,Slow
7,6,0,4.26,0,0,0,0,50,2,0,31,50,2055,3.837956,1,2,7.7,2,0.566038,0.264151,0.09434,0.018868,0.056604,Slow
11,10,0,4.24,0,0,0,0,50,3,0,36,50,9200,4.289674,0,2,12.1,52,0.616268,0.17512,0.109091,0.036364,0.063158,Hot
8,92,0,3.56,0,0,0,0,50,2,0,55,50,7076,3.968061,0,2,8.8,69,0.375,0.3125,0,0.125,0.1875,Slow
5.83,5,1,4.22,0,0,0,0,1,1,0,35,50,126370,4.146957,1,2,6.413,64,0.56545,0.23747,0.103163,0.040389,0.053528,Hot
8,7,0,3.42,0,0,0,0,50,2,0,63,50,1322,3.965204,0,2,8.8,46,0.386059,0.152815,0.160858,0.093834,0.206434,Stable
5.77,5,1,4,0,0,0,0,45,1,0,31,50,8996,3.91574,0,2,6.347,2,0.25,0.5,0.25,0,0,Slow
