@relation OMG

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
13,11,1,3.82,0,0,0,0,30,3,0,43,50,4.006692,0,2,14.3,69,Stable
11,16,1,2.92,0,0,0,0,50,2,0,16,50,3.666667,0,2,12.1,67,Slow
7,9,0,3.75,0,0,0,0,2,2,0,44,50,4.152727,1,2,7.7,4,Stable
4.81,76,0,4.16,0,0,0,0,45,1,0,39,50,3.92888,0,2,5.291,52,Hot
9,8,0,4.29,0,0,0,0,50,3,0,55,50,4.151916,0,3,9.9,67,Stable
18,115,0,3.68,0,0,0,0,34,5,0,51,50,4.156667,0,3,19.8,53,Slow
7,6,1,3.63,0,0,0,0,50,2,0,41,50,4.024765,0,2,7.7,3,Stable
5,8,1,3.06,0,0,0,0,1,1,0,40,50,3.995167,0,8,5.5,36,Stable
1.68,2,1,3.76,0,0,0,0,1,1,0,30,50,3.942466,0,1,1.848,4,Stable
7,6,1,3.81,0,0,0,0,3,2,0,49,50,3.772727,0,8,7.7,11,Slow
6,7,0,2.67,0,0,0,0,46,2,0,8,50,4.058952,0,2,6.6,46,Slow
13,19,1,3.76,0,0,0,0,50,3,0,12,50,3.94152,0,2,14.3,4,Stable
11,89,0,3.46,0,0,0,0,50,2,0,52,50,4.385692,1,2,12.1,4,Slow
7,6,0,3.29,0,0,0,0,4,2,0,46,50,3.870809,0,2,7.7,25,Stable
12,11,0,2,0,0,0,0,50,3,0,38,50,4.001132,0,1,13.2,46,Slow
6,17,0,4.14,0,0,0,0,37,2,0,74,50,4.166932,0,3,6.6,4,Slow
6,17,0,3.28,0,0,0,0,50,2,0,49,50,4.216278,0,8,6.6,60,Stable
8,7,1,3.89,0,0,0,0,25,3,0,28,50,4.080891,1,8,8.8,24,Slow
8,7,0,3.14,0,0,0,0,5,2,0,32,50,4.067416,0,1,8.8,69,Slow
11,84,0,3.98,0,0,0,0,50,2,0,137,50,4.141022,0,5,12.1,49,Stable
6,22,0,4.04,0,0,0,0,21,2,0,55,50,3.968061,0,2,6.6,46,Stable
11,10,1,3.76,0,0,0,0,50,3,0,42,50,3.735537,0,3,12.1,4,Stable
9,8,1,4.16,0,0,0,0,20,3,0,35,50,3.974556,0,2,9.9,22,Slow
8,26,0,3.07,0,0,0,0,50,2,0,40,50,3.186047,0,6,8.8,4,Slow
3.78,4,1,3.35,0,0,0,0,1,1,0,38,50,3.789601,0,1,4.158,53,Stable
8,7,0,3.89,0,0,0,0,50,2,0,124,50,4.101118,0,2,8.8,60,Slow
6,145,1,3.83,0,0,0,0,49,2,0,49,50,4.159493,0,1,6.6,24,Slow
8,17,0,3.96,0,0,0,0,50,3,0,32,50,3.901345,0,3,8.8,60,Stable
9,36,0,4.09,0,0,0,0,50,3,0,42,50,4.168346,0,2,9.9,4,Hot
